Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Link
AEY,"ADDvantage Technologies Group, Inc.",1.76,$17.73M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTfq1vsSK_jq4oR69kpTpQuPI3K1vzbywiEXQV1e86BKBKFupSFZPIasH0
IOTS,Adesto Technologies Corporation,4.99,$74.85M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmi8U8NTUUk2YBn4_QVvWVxRJNo8lTsBTmwtJ7NrgF7GtUw9hgL2G77UY
ADMA,ADMA Biologics Inc,7.58,$81.21M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTHV6AN-Vf5ToFlvE3r-8An-L4CGCanLFgdLqCB5V82CMmff3NQU458b04
ADBE,Adobe Systems Incorporated,94.79,$47.41B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT9NyIby34I9VEr61wa1FPaBFZ5d9MqBnRqcSZjmWyVRHEhFtiXxHRb1_K_yA
ADTN,"ADTRAN, Inc.",19.43,$956.66M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUzUl87vVoZtefJwkeuvhGuonF9vwz-g84ShSEx8UPLd-uk9CIoYLy6wI
ADRO,"Aduro Biotech, Inc.",14.36,$926.48M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT0OjcA56BvBRliuFeDW5BGlEJ7WbxYRwcN8pwXlInbjbc2kNIqRew_xzs
AAAP,Advanced Accelerator Applications S.A.,34.37,$1.35B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTdbjt1cPixq-_Hq5pMYfeq8zxuV8ENjkX8bMMOhf1gM5SA68IDtGRwkOk
AEIS,"Advanced Energy Industries, Inc.",33.28,$1.33B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6lET6mdWPZtGA7dV9p_EnmalXNn9oUkfv38Tin2kBYE2Q0NhZQF1UMpg
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,n/a,n/a,Others,n/a,http://www.nasdaq.com/symbol/aitp,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSeEeN7oG1lp4FrXJ7H93exIdl_lACsHCAECbCERBMjjA2Qx1S3LgZcexQ
AMD,"Advanced Micro Devices, Inc.",3.99,$3.17B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSc_cvOwL2Dk93BLTGWD7nDmNz1Lxsy_lqS29oraRE2FnKc2OdW5sDyczXq
